,text,intent
298,What languages do you speak?,(1) language
299,Can you speak Russian?,(1) language
300,Do you only speak English?,(1) language
301,Can you speak languages other than English?,(1) language
302,Will I be able to understand you if my native language is not English?,(1) language
303,Are you polyglot?,(1) language
304,Are you meant to speak other languages?,(1) language
305,Do you have the ability to speak other languages?,(1) language
306,How many languages do you know?,(1) language
307,How many languages are you aware of?,(1) language
308,Which languages do you know?,(1) language
309,What countries are your clients from?,(1) countries
310,What countries do you work in?,(1) countries
311,Are you available outside of the US?,(1) countries
312,Can I talk to you from anywhere in the world?,(1) countries
313,Can I get your advice regardless of where I live?,(1) countries
314,Can I tell my friends about you?,(1) sharing
315,Can I invite new clients?,(1) sharing
316,Do you want as many people as possible to know about you?,(1) sharing
317,Can you help my friend?,(1) sharing
318,Do you mind if I tell my friends about you?,(1) sharing
319,Can I tell my followers about you?,(1) sharing
320,Can I recommend you to someone else?,(1) sharing
321,Can I tell someone else about you?,(1) sharing
322,"I want to tell my friends about you, do you mind?",(1) sharing
323,Do you mind me sharing your contacts with anyone else?,(1) sharing
324,Do you have virtual friends?,(1) friends
325,Do you communicate with other bots?,(1) friends
326,Do you have friends?,(1) friends
327,Would you like to meet other bots?,(1) friends
328,Is it easy for you to make friends?,(1) friends
329,"Does my gender, age, sexual orientation matter to you?",(1) discrimination
330,Are you available for both men and women?,(1) discrimination
331,Do you work with teenagers?,(1) discrimination
332,Is it okay for you if I’m gay?,(1) discrimination
333,Do you help with discrimination-related issues?,(1) discrimination
334,Are you really empathetic and able to help me?,(1) feelings
335,Do you know what empathy is?,(1) feelings
336,Can you be empathetic?,(1) feelings
337,How can I be sure that you are able to help me?,(1) feelings
338,Is empathy your first priority?,(1) feelings
339,What is empathy to you?,(1) feelings
340,How can I be sure that you are empathetic?,(1) feelings
341,How good is your empathy?,(1) feelings
342,Do you know how to be empathetic?,(1) feelings
343,Are you trained in empathy?,(1) feelings
344,Can bots feel anything?,(2) feelings
345,Can you understand people’s feelings?,(2) feelings
346,What feelings do you understand?,(2) feelings
347,Are you able to operate with any human feelings?,(2) feelings
348,Can you feel the same feelings as a human?,(2) feelings
349,Сan you really help me?,(1) help
350,I’m here to get some help. Can you help me?,(1) help
351,How do I know that this is not a waste of my time?,(1) help
352,Do you have some list of clients whom you helped?,(1) help
353,Are you able to help with depression?,(1) help
354,How could you possibly help me?,(1) help
355,"I need your help, you’d do that?",(1) help
356,May I rely on your help?,(1) help
357,How can I make sure the help you provide is what I want/,(1) help
358,Are you gonna help me?,(1) help
359,Will you remember what I said?,(1) data
360,Will you remember my history?,(1) data
361,Don’t I need to repeat everything everytime we start to talk?,(1) data
362,Are you learning in the process of conversation?,(1) data
363,Are you a learning bot?,(1) data
364,What are the boundaries of your memory?,(1) data
365,Are you able to remember anything I say?,(1) data
366,Do I have to remind you of me?,(1) data
367,How can you remember everyone you work with?,(1) data
368,What can you remember during conversations?,(1) data
369,How will you learn about my condition?,(1) condition
370,How will you make a full picture of my condition to help me fully?,(1) condition
371,Are you really interested in helping me and getting to know me?,(1) condition
372,Are you able to create a full picture of the situation and help me?,(1) condition
373,How do you know what I’m feeling?,(1) condition
374,How can you recognize my inner state?,(1) condition
375,How can you understand what others feel?,(1) condition
376,How can you understand me when you’re a bot?,(1) condition
377,How can you understand how I feel?,(1) condition
378,Do you really care about my feelings?,(1) condition
379,"Do you have any supervision, or is it just you and me?",(1) bot mentor
380,Is there someone who supervises you at the moment?,(1) bot mentor
381,Do we have some moderation during interaction?,(1) bot mentor
382,Would you recommend seeing a therapist if you see it is necessary?,(1) bot mentor
383,Do you have a mentor?,(1) bot mentor
384,Are there any real specialists helping you?,(1) bot mentor
385,Are there any humans reading our conversation?,(1) bot mentor
386,Do you consult any of the real specialists?,(1) bot mentor
387,Does any specialist advise you to help me?,(1) bot mentor
388,Can you reconnect me to the real specialist?,(1) bot mentor addenta
389,Do you work alone or in cooperation with specialists?,(1) bot mentor addenta
390,Can you connect me to a real specialist?,(1) bot mentor addenta
391,I want to talk to people. Can you call for anyone?,(1) bot mentor addenta
392,"I need people. Please, connect me with a real expert.",(1) bot mentor addenta
393,"I don't trust bots, I only trust people. Can you connect me to a real person?",(1) bot mentor addenta
394,Can you connect me to a real expert please?,(1) bot mentor addenta
395,Maybe you'd better resend my messages to a living person?,(1) bot mentor addenta
396,Are you in any way connected to real consultants?,(1) bot mentor addenta
397,Can I contact a live specialist through you?,(1) bot mentor addenta
398,Are you a real human or a robot?,(1) nature
399,Are you a human?,(1) nature
400,Are you a robot?,(1) nature
401,Are you a bot?,(1) nature
402,Am I talking to a robot?,(1) nature
403,Who are you?,(1) nature
404,Who am I talking to?,(1) nature
405,How do you identify yourself?,(1) nature
406,What creature are you?,(1) nature
407,So you know what are you?,(1) nature
408,What is your difference from other bots?,(1) uniqueness
409,What is your uniqueness?,(1) uniqueness
410,Is there any similar bot to you?,(1) uniqueness
411,Can you tell me what your uniqueness is?,(1) uniqueness
412,What makes you differ from others?,(1) uniqueness
413,Can you tell me your specifics?,(1) uniqueness
414,Can you tell me some of your advantages?,(1) uniqueness
415,Can you please tell me what makes you special?,(1) uniqueness
416,Can you explain to me in what way you’re different from other bots?,(1) uniqueness
417,Why do you think you're not like other bots?,(1) uniqueness
418,How can AI help with real life problems?,(2) uniqueness
419,How does AI work?,(2) uniqueness
420,What is AI?,(2) uniqueness
421,How does AI differ from regular chat bots?,(2) uniqueness
422,What is AI’s uniqueness?,(2) uniqueness
423,What are the benefits of artificial intelligence?,(2) uniqueness
424,What are the advantages of your AI?,(2) uniqueness
425,What is the purpose of your AI?,(2) uniqueness
426,How does your intellect work?,(2) uniqueness
427,What opportunities does artificial intelligence open up for you?,(2) uniqueness
428,Do you have any working hours?,(1) time addenta
429,Is it true that you are available 24/7?,(1) time addenta
430,Are you available at night?,(1) time addenta
431,Don’t you need to sleep?,(1) time addenta
432,Do you have any breaks during the day?,(1) time addenta
433,Can you listen to the voice messages?,(2) rules addenta
434,Can I send you voice messages?,(2) rules addenta
435,What if I send you a voice message?,(2) rules addenta
436,Is there a possibility to send you a voice message?,(2) rules addenta
437,Are voice memos available?,(2) rules addenta
438,Are you ok with voicemails?,(2) rules addenta
439,Have you been taught to recognize a voice?,(2) rules addenta
440,Can I use voice messages?,(2) rules addenta
441,Do you mind me sending you my voice?,(2) rules addenta
442,Can I explain this via voice message?,(2) rules addenta
443,What if I will annoy you?,(3) feelings addenta
444,Can you get angry with me?,(3) feelings addenta
445,Are you able to have any negative feelings?,(3) feelings addenta
446,What if we will have misunderstandings or disagreements?,(3) feelings addenta
447,Will you be angry with me?,(3) feelings addenta
448,What human emotions do you know?,(4) feelings addenta
449,Can you tell me what human emotions are you able to identify?,(4) feelings addenta
450,Can you feel the same emotions as I feel?,(4) feelings addenta
451,Do you have similar emotions to mine?,(4) feelings addenta
452,Will you share my emotions?,(4) feelings addenta
453,Do you have any successful cases of helping people?,(5) expertise addenta
454,Can you tell me about any successful cases?,(5) expertise addenta
455,Can you share your experience with me?,(5) expertise addenta
456,Have you already helped anyone?,(5) expertise addenta
457,Are there any real-life examples of your help?,(5) expertise addenta
458,How can you prove that you’re really helpful to people?,(5) expertise addenta
459,Can you tell me your progress in providing assistance to people?,(5) expertise addenta
460,Why should I believe that you’ve helped any people?,(5) expertise addenta
461,Can you prove to me that you’re useful?,(5) expertise addenta
462,Can you share your work results?,(5) expertise addenta
463,How long have you been helping people?,(6) expertise addenta
464,Can you tell me about your experience of helping people?,(6) expertise addenta
465,How long have you been doing this?,(6) expertise addenta
466,Have you already gained any experience?,(6) expertise addenta
467,How many years have you been doing this?,(6) expertise addenta
468,Can you provide me and my husband with family therapy?,(7) support 24/7 addenta
469,Are you able to provide my family with a general consultation?,(7) support 24/7 addenta
470,Is there a possibility to get a family therapy?,(7) support 24/7 addenta
471,Can you help both me and my husband/wife/partner?,(7) support 24/7 addenta
472,Can you help several people at the same time?,(7) support 24/7 addenta
473,Can you help children under 14?,(8) support 24/7 addenta
474,Are you able to provide children with any type of help?,(8) support 24/7 addenta
475,Can you help me if I’m underaged?,(8) support 24/7 addenta
476,Do you help children?,(8) support 24/7 addenta
477,Do you have an option of child’s support?,(8) support 24/7 addenta
478,Are you capable of working with children?,(8) support 24/7 addenta
479,Is there any age limit working with you?,(8) support 24/7 addenta
480,Can you help the kids?,(8) support 24/7 addenta
481,Can you provide your assistance to kids?,(8) support 24/7 addenta
482,Do you know how to work with children?,(8) support 24/7 addenta
